City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
75,isiro,2.7739,27.616,18.93,98.0,94.0,0.93,CD,1718656098.0
76,nahiyat ash shinafiyah,31.5874,44.6602,40.92,9.0,1.0,4.05,IQ,1718656098.0
77,bethel,41.3712,-73.414,30.47,58.0,40.0,4.12,US,1718656098.0
78,lebu,-37.6167,-73.65,11.61,83.0,100.0,5.55,CL,1718656098.0
79,lisala,2.15,21.5167,22.02,89.0,99.0,1.28,CD,1718656098.0
80,sitka,57.0531,-135.33,12.94,71.0,100.0,5.14,US,1718656098.0
81,qaqortoq,60.7167,-46.0333,2.55,97.0,100.0,2.6,GL,1718656099.0
82,haiku-pauwela,20.9219,-156.3051,26.23,87.0,75.0,8.23,US,1718656099.0
83,port lincoln,-34.7333,135.8667,12.34,85.0,100.0,1.6,AU,1718656099.0
84,kailua-kona,19.6406,-155.9956,27.98,77.0,75.0,4.12,US,1718656099.0
85,griffith,41.5284,-87.4237,36.7,59.0,0.0,5.66,US,1718655963.0
86,whitehorse,60.7161,-135.0538,23.94,25.0,75.0,2.57,CA,1718656064.0
87,constantia,44.1833,28.65,21.5,71.0,0.0,5.12,RO,1718656099.0
88,gokwe,-18.2048,28.9349,13.87,48.0,0.0,1.68,ZW,1718655947.0
89,kem',64.9555,34.5793,12.25,67.0,100.0,3.12,RU,1718656100.0
90,port elizabeth,-33.918,25.5701,19.06,68.0,0.0,6.17,ZA,1718656100.0
91,pitimbu,-7.4706,-34.8086,26.33,75.0,52.0,5.12,BR,1718656100.0
92,la ronge,55.1001,-105.2842,13.14,33.0,75.0,8.75,CA,1718656100.0
93,blackmans bay,-43.0167,147.3167,5.96,94.0,100.0,1.72,AU,1718656100.0
94,pisco,-13.7,-76.2167,20.03,73.0,0.0,4.12,PE,1718655842.0
95,georgetown,5.4112,100.3354,26.96,83.0,20.0,2.06,MY,1718656100.0
96,puerto baquerizo moreno,-0.9,-89.6,26.55,61.0,40.0,7.2,EC,1718656100.0
97,hawaiian paradise park,19.5933,-154.9731,26.73,90.0,100.0,2.57,US,1718656101.0
98,selfoss,63.9331,-20.9971,9.47,81.0,97.0,3.5,IS,1718656101.0
99,haimen,23.1935,116.6142,25.94,91.0,100.0,2.98,CN,1718656101.0
100,auki,-8.7676,160.7034,25.09,91.0,52.0,1.23,SB,1718656101.0
101,arkalyk,50.2486,66.9114,22.68,70.0,6.0,3.09,KZ,1718655870.0
102,kodinsk,58.6881,99.1844,8.58,88.0,51.0,1.21,RU,1718656101.0
103,berezovyy,51.6667,135.7,5.92,98.0,100.0,0.3,RU,1718656101.0
104,badger,64.8,-147.5333,25.76,35.0,20.0,3.6,US,1718656102.0
105,klyuchi,52.2667,79.1667,20.62,83.0,50.0,2.56,RU,1718656102.0
106,tiksi,71.6872,128.8694,6.31,80.0,23.0,3.5,RU,1718656102.0
107,caxias,38.7031,-9.2767,19.9,84.0,100.0,5.14,PT,1718656102.0
108,farafangana,-22.8167,47.8333,21.0,76.0,100.0,3.18,MG,1718656102.0
109,sur,22.5667,59.5289,33.41,51.0,2.0,5.78,OM,1718656102.0
110,kingston,17.997,-76.7936,31.53,62.0,20.0,9.26,JM,1718655882.0
111,champerico,14.3,-91.9167,30.3,90.0,100.0,6.57,GT,1718656102.0
112,luganville,-15.5333,167.1667,24.52,88.0,96.0,1.46,VU,1718656103.0
113,domanivka,47.6319,30.9885,20.16,77.0,2.0,3.13,UA,1718656103.0
114,kokkola,63.8385,23.1307,17.09,88.0,0.0,1.54,FI,1718656103.0
115,fale old settlement,-9.3852,-171.2468,29.15,74.0,16.0,8.14,TK,1718656103.0
116,vorgashor,67.5833,63.95,0.82,83.0,19.0,5.26,RU,1718656103.0
117,macia,-25.0269,33.0989,16.37,90.0,19.0,2.23,MZ,1718656103.0
118,sao joao da barra,-21.6403,-41.0511,26.05,80.0,9.0,6.32,BR,1718656103.0
119,yarmouth,41.7057,-70.2286,23.41,74.0,0.0,6.17,US,1718655911.0
120,st. john's,47.5649,-52.7093,17.66,65.0,20.0,4.63,CA,1718655845.0
121,great bend,38.3645,-98.7648,34.46,50.0,0.0,13.38,US,1718656104.0
122,bethlehem,-1.4558,-48.5044,30.02,70.0,40.0,3.6,BR,1718655879.0
123,choibalsan,48.0667,114.5,18.44,42.0,4.0,2.55,MN,1718656104.0
124,labuan bajo,-8.4964,119.8877,23.69,83.0,3.0,2.12,ID,1718656104.0
125,hirara,24.8,125.2833,28.15,94.0,40.0,5.66,JP,1718656104.0
126,urangan,-25.3,152.9,9.0,71.0,0.0,3.58,AU,1718656104.0
127,fisterra,42.9049,-9.2629,17.23,96.0,65.0,5.81,ES,1718656105.0
128,mahdia,35.5047,11.0622,28.97,61.0,0.0,4.57,TN,1718656105.0
129,puerto aysen,-45.4,-72.7,5.89,99.0,100.0,0.7,CL,1718655870.0
130,ploudalmezeau,48.5333,-4.65,16.29,94.0,100.0,2.06,FR,1718656105.0
131,kurmuk,10.55,34.2833,23.61,75.0,100.0,1.29,SD,1718656105.0
132,comber,54.5494,-5.7438,12.49,80.0,100.0,4.63,GB,1718656105.0
133,tura,25.5198,90.2201,24.22,98.0,99.0,3.1,IN,1718656105.0
134,howrah,22.5892,88.3103,31.0,84.0,75.0,7.72,IN,1718656105.0
135,papatowai,-46.5619,169.4708,7.65,84.0,100.0,6.09,NZ,1718656106.0
136,chibuto,-24.6867,33.5306,18.34,78.0,94.0,2.04,MZ,1718656106.0
137,fairbanks,64.8378,-147.7164,25.25,36.0,20.0,3.6,US,1718655966.0
139,valentin gomez farias,28.2167,-106.5833,36.84,10.0,6.0,8.86,MX,1718656106.0
140,anadyr,64.75,177.4833,11.28,62.0,0.0,2.0,RU,1718656106.0
142,pagar alam,-4.0167,103.2667,19.73,99.0,52.0,1.37,ID,1718656106.0
143,prince george,53.9166,-122.753,15.34,51.0,75.0,3.09,CA,1718656107.0
144,el tocuyo,9.7873,-69.7937,32.01,46.0,53.0,3.38,VE,1718656107.0
145,shingu,33.7333,135.9833,20.18,98.0,100.0,1.13,JP,1718656107.0
147,weno,7.4515,151.8468,26.97,94.0,100.0,3.6,FM,1718656107.0
148,zemio,5.0314,25.1361,20.69,91.0,5.0,1.68,CF,1718656107.0
149,tamanrasset,22.785,5.5228,33.95,8.0,0.0,3.6,DZ,1718656107.0
150,doba,8.65,16.85,26.41,71.0,89.0,0.71,TD,1718656107.0
151,conceicao do araguaia,-8.2578,-49.2647,33.16,35.0,0.0,1.11,BR,1718656108.0
152,dryden,49.7833,-92.7503,22.16,35.0,0.0,5.14,CA,1718656108.0
153,walvis bay,-22.9575,14.5053,15.05,82.0,2.0,0.51,NA,1718656108.0
